Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2zXl3FvsW0RnrKKzEY7NHa,"אדון שוקו","המיטב","Arik Einstein;Yoni Rechter",2015-03-10,211000,6,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.765,0.533,2,-13.167,1,0.029,0.494,0.0000684,0.114,0.755,104.874,4
spotify:track:5vJeHCJFoWukq4jbMDwSs4,"אמא שלי","המיטב","Arik Einstein;Yoni Rechter",2015-03-10,294333,18,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.59,0.456,8,-12.285,1,0.0271,0.0991,0,0.0463,0.885,138.633,4
spotify:track:3LdwUL0QHwAivznT7bokOH,"אמרו לו","המיטב","Arik Einstein",2015-03-10,227306,14,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.662,0.651,10,-11.262,1,0.0284,0.348,0,0.0609,0.936,122.45,4
spotify:track:7jZZr2ATYHsijdt1flSYla,"דון קישוט","המיטב","Arik Einstein;Shem-Tov Levy",2015-03-10,215253,6,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.547,0.269,5,-14.456,1,0.0446,0.952,0.000159,0.145,0.18,87.857,4
spotify:track:4RZ8CLQBKLY3Wk2yqzboFI,"שיר של אחרי מלחמה","המיטב","Arik Einstein;Shem-Tov Levy",2015-03-10,215053,7,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.362,0.3,0,-11.204,1,0.0424,0.939,0.00000431,0.101,0.192,74.903,4
spotify:track:4pHMFP0BL3vyFrV1t3tBIb,"יש בי אהבה","המיטב","Arik Einstein;Shem-Tov Levy",2015-03-10,253466,13,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.688,0.397,5,-11.781,1,0.0296,0.548,0.0000424,0.0917,0.331,83.918,4
spotify:track:15zgh8irE5oldPgDqUcWMQ,"בגללך","המיטב","Arik Einstein;Shem-Tov Levy",2015-03-10,310666,15,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.723,0.535,5,-13.601,0,0.0287,0.0193,0.000751,0.123,0.774,121.806,4
spotify:track:1QqaCI8bV8CPObtHt2ySxC,"לבכות לך","המיטב","Arik Einstein;Shem-Tov Levy",2015-03-10,248306,17,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.633,0.271,3,-14.659,0,0.0296,0.728,0,0.114,0.0999,137.513,4
spotify:track:2Dn5BBCwAwAyq6S76hSAU0,"אהבה ממבט ראשון","המיטב","Arik Einstein;Shem-Tov Levy",2015-03-10,200746,15,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.592,0.442,7,-9.49,1,0.0308,0.9,0.0000102,0.123,0.193,103.528,3
spotify:track:2YvCc1hWQmHxkIA8inqNDs,"עכשיו התור לאהבה","המיטב","Arik Einstein;Shem-Tov Levy",2015-03-10,196613,8,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.557,0.272,1,-11.668,0,0.0281,0.942,0.000884,0.091,0.383,101.879,4
